LAT,LON,COMPANY,LOCATION NAME,LOCATION TYPE
16.6144576,-22.9267922 ,MELIA,Meliá Llana Beach Resort & Spa,Melia Lux Chain
16.616247,-22.924059,MELIA,Meliá Dunas Beach Resort & Spa,Melia Lux Chain
16.6125496,-22.9275056,MELIA,Meliá Tortuga Beach,Melia Lux Chain
16.616000,-22.923600,MELIA,Sol Dunas,Melia Lux Chain
25.189,55.2668,MELIA,ME Dubai,Melia Lux Chain
25.1677222,55.44694444444444,MELIA,Meliá Desert Palm a Meliá Collection Hotel,Melia Lux Chain
31.706831,-7.957617,MELIA,Sol Oasis Marrakech,Melia Lux Chain
-25.975912,32.581821,MELIA,Meliá Maputo Sky,Melia Lux Chain
-3.370374,36.706318,MELIA,Gran Meliá Arusha,Melia Lux Chain
-2.471776,34.547225,MELIA,Meliá Serengeti Lodge a Meliá Collection Hotel,Melia Lux Chain
-5.95391,39.36768,MELIA,Meliá Zanzibar,Melia Lux Chain
-34.5867,-58.3877,MELIA,Meliá Recoleta Plaza,Melia Lux Chain
-34.5968,-58.3730,MELIA,Meliá Buenos Aires,Melia Lux Chain
-25.6801481,-54.4471433,MELIA,Gran Meliá Iguazú,Melia Lux Chain
25.074623,-77.400058,MELIA,Meliá Nassau Beach - All Inclusive,Melia Lux Chain
-15.7926666,-47.8928548,MELIA,Hotel Brasil 21 Convention,Melia Lux Chain
-15.79346,-47.89313,MELIA,Hotel Brasil 21 Suites,Melia Lux Chain
-15.79294527,-47.89351344,MELIA,Meliá Brasil 21,Melia Lux Chain
-22.8972,-47.0544,MELIA,Melia Campinas,Melia Lux Chain
-23.5446,-46.6560,MELIA,TRYP Sao Paulo Higienópolis Hotel,Melia Lux Chain
-23.5578051,-46.6608115,MELIA,Meliá Paulista,Melia Lux Chain
-23.6298,-46.706300,MELIA,TRYP Sao Paulo Naçoes Unidas Hotel,Melia Lux Chain
-23.605458,-46.664532,MELIA,Meliá Ibirapuera,Melia Lux Chain
-23.5851,-46.6816,MELIA,TRYP Sao Paulo Iguatemi Hotel,Melia Lux Chain
-23.5806,-46.6790,MELIA,Meliá Jardim Europa,Melia Lux Chain
-23.5830,-46.6781,MELIA,INNSiDE Sao Paulo Itaim,Melia Lux Chain
-23.5469,-46.5712,MELIA,TRYP Sao Paulo Tatuape Hotel,Melia Lux Chain
10.521075,-75.4957454,MELIA,Meliá Cartagena Karmairi,Melia Lux Chain
21.382033,-77.917595,MELIA,GRAN HOTEL managed by Meliá Hotels International ,Melia Lux Chain
