Title,Product_Type,Catagory,Content,Stock,Brand,Wrranty Period,Model,SKU,Receiving_item,Detail_Description,Rating out of 5,No of Ratings,Store_url/dropship_supplier,product_url,image_url,regular_price,sale_price
McAfee LiveSafe 3 Year 1 Device,Software,"Electronics Accessories,Computer Accessories,Software,Security Software",Buy McAfee LiveSafe 3 Year 1 Device online at Lazada Malaysia. Discount prices and promotional sale on all Security Software. Free Shipping.,,"McAfee,More Computer Accessories from McAfee",1 Year,Local Manufacturer Warranty,993112768_MY-2617964968,1 x McAfee LiveSafe Antivirus Sofrware Original - 3 Year 1 Device,"McAfee® Mobile Security for your Android and iOS devices and cross-device protection for your PCs, Macs and more.,Vulnerability Scanner to streamline Windows and application updates with a single tool that scans and installs them all.,Anti-spam to remove junk mail before it reaches your inbox,Password Manager to easily secure and manage your passwords by storing, auto-filling and even generating unique passwords.,McAfee® Web Advisor to browse, shop, and bank with confidence by sidestepping attacks with clear warnings of risky websites, links and files. ,PC Optimization to help you get things done faster by making your computer focus on the task at hand, automatically.,Web Boost to browse without interruption and maximize your battery and bandwidth by pausing autoplay videos.,App Boost to give your resource-hungry apps the power they need to get the job done faster. ,McAfee® Shredder™ to delete sensitive files completely, ensuring no traces are left behind.,McAfee® QuickClean™ to remove unwanted files, reclaim storage and purge cookies and temporary files.,File Lock to place your sensitive files under lock-and-key quickly and easily with 256-bit file encryption.,McAfee’s Virus Protection Pledge that includes our 100% Guarantee: Viruses removed or your money back, available with auto-renewal.* For more information, see here. ,Customer support via phone, chat or online for the life of your subscription.",4.9,93 Ratings,//www.lazada.com.my/shop/mcafee/?itemId=993112768&channelSource=pdp,https:https://www.lazada.com.my/products/mcafee-livesafe-3-year-1-device-i993112768-s2617964968.html?search=1&freeshipping=1,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg,RM89.00,RM109.00
Microsoft 365 Personal,Software,"Electronics Accessories,Computer Accessories,Software,Productivity",Buy Microsoft 365 Personal online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,Only 14 items left,"Microsoft,More Computer Accessories from Microsoft",1 Year,Local Manufacturer Warranty,599180263_MY-1217956332,1 x Microsoft 365 Personal,"*USER ABLE TO UPDATE YOUR MICROSOFT OFFICE 365 PERSONAL TO MICROSOFT 365 PERSONAL,Usage: 1 person,Word, Excel, PowerPoint, OneNote (Premium): Work offline and apply advanced formatting with powerful desktop apps.,OneDrive cloud storage (1TB) : Back up and access your files and photos across your devices. Save your Office documents to OneDrive to enable AutoSave and easy sharing.,Outlook: Bring your email and calendars together in one desktop app.,AI-powered creative tools: Get helpful design and writing suggestions with features like Designer, Ideas, and the new Microsoft Editor.,Premium creative content: Access an extended collection of royalty-free creative content, including templates, stock photos, icons, and fonts.,OneDrive Advanced Security: Know your files are protected with built-in ransomware detection and recovery and use two-step identity verification to access your most important files in OneDrive Personal Vault.,Skype: Keep in touch with friends and family on their mobile phones or landlines with 60 minutes of Skype calling per month.,Works on Windows, macOS, iOS, and Android: Use on your favorite devices at home or on the go.,Access to the latest updates: Stay ahead of the curve with access to the latest features as soon as they’re released.,Special partner offers: Access to new and unique benefits from several Microsoft partners.,Ongoing technical support: Get help via chat or phone at no extra cost throughout your subscription.",5.0,7 Ratings,//www.lazada.com.my/shop/microsoft-flagship-store/?itemId=599180263&channelSource=pdp,https:https://www.lazada.com.my/products/microsoft-365-personal-i599180263-s1217956332.html?search=1&freeshipping=1,https://my-test-11.slatic.net/p/c597e925778be2ab003bedaf75fdb99a.jpg_200x200q90.jpg_.webp,RM199.00,RM258.00
Special Promotion - McAfee Total Protection 1 Device 1 Year,Software,"Electronics Accessories,Computer Accessories,Software,Security Software","""Buy Special Promotion - McAfee Total Protection 1 Device 1 Year online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,"McAfee,More Computer Accessories from McAfee",1 Year,Local Manufacturer Warranty,1126152789_MY-3184504736,1x McAfee Total Protection Software Antivirus ORIGINAL - 1 Device 1 Year,"Safe Web Browsing,Performance Optimization,Safe Family,Password Manager,Cross-Platform, Multi-Device,Encrypted Storage,FREE Support,Exclusive : Buy 1 Device 1 Year Subscription and Get FREE Protection for extra 2 Device",5.0,25 Ratings,//www.lazada.com.my/shop/mcafee/?itemId=1126152789&channelSource=pdp,https:https://www.lazada.com.my/products/special-promotion-mcafee-total-protection-1-device-1-year-i1126152789-s3184504736.html?search=1&freeshipping=1,https://my-test-11.slatic.net/p/26b27d5f98ba43edd68d781f992ba664.jpg_200x200q90.jpg_.webp,RM69.00,RM120.00
Turnitin,Software,"Electronics Accessories,Computer Accessories,Software,Productivity",Buy Turnitin online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,No Warranty,708996439_MY-1546532830,Account,"One month period,Personal private account,No repository setting (Not save in database turnitin),After place order you must provide email address (which does not has turnitin account before) and full name to us.",4.9,84 Ratings,//www.lazada.com.my/shop/jshop-1573626148/?itemId=708996439&channelSource=pdp,https:https://www.lazada.com.my/products/turnitin-i708996439-s1546532830.html?search=1,https://my-test-11.slatic.net/p/9f7a40f86237e897bc6ca4f6bf15a3cf.jpg_200x200q90.jpg_.webp,RM35.80,RM100.00
Windows_10_Professional Activation Key Permanent,Software,"Electronics Accessories,Computer Accessories,Software,Productivity",Buy Windows_10_Professional Activation Key Permanent online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,,1979848883_MY-7906474031,,"❌BOX,❌DVD/CD,❌COA,❌Cracked / Pirated ,❌Trial / Beta copy✔Activate both 32bit / 64bit version ,✔Lifetime use after activation,✔Full retail vision x32/64,✔1Unit For 1Pc/User,✔No as a spare key ,✔Digital LicenseWhat We Provide? ,100% original Product key.✔100% GUARANTEE, If the activation key CANNOT be installed on your Genuine Windows, we will replace with new license key after we remotely troubleshoot, 100% refund your money if we unable to activate your Genuine Windows!#OFFICE,#MICROSOFT,#WINDOW,#PC ,#LAPTOP,#COMPUTER ,#SOFTWARE,#windows,#key,#window10",5.0,2 Ratings,//www.lazada.com.my/shop/digatal-pos-trading/?itemId=1979848883&channelSource=pdp,https:https://www.lazada.com.my/products/windows_10_professional-activation-key-permanent-i1979848883-s7906474031.html?search=1,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg,RM20.00,RM35.00
DS SolidWorks 2020,Software,"Electronics Accessories,Computer Accessories,Software,Productivity",Buy DS SolidWorks 2020 online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,No Warranty,709576631_MY-1548840241,,"For Windows OS,After place order please provide your email address to us,Patch/Offlineversion",5.0,64 Ratings,//www.lazada.com.my/shop/jshop-1573626148/?itemId=709576631&channelSource=pdp,https:https://www.lazada.com.my/products/ds-solidworks-2020-i709576631-s1548840241.html?search=1,https://my-test-11.slatic.net/p/f6a38ddef4284100320fe78e2ec8d1f8.png_200x200q90.jpg_.webp,RM34.80,RM108.09
【 MAC OS / Windows 】SketchUp Pro 2021 ✔️ SketchUp Pro 2020 ✔️【 100% Work 】✔️ Easy Install✔️,Software,"Electronics Accessories,Computer Accessories,Software,Productivity","""Buy 【 MAC OS / Windows 】SketchUp Pro 2021 ✔️ SketchUp Pro 2020 ✔️【 100% Work 】✔️ Easy Install✔️ online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,"No Brand,More Computer Accessories from No Brand",SketchUp Pro 2020,SketchUp Pro 2020,1283628340_MY-3894026874,SketchUp Pro 2020 - Mac / Windows,"【 WINDOWS 64 bits 】SketchUp Pro 2020 + V-Ray Next,【 Mac OS 】SketchUp Pro 2020 only,V-RAY is only useable in Windows OS,100 % WORKS! ✔ ,with COMPLETE installation guide,Drawing in 3D,Create accurate, highly-detailed models,Produce scaled, accurate drawings,PM me your computer OS after buy.",,1 Ratings,//www.lazada.com.my/shop/logiq-lab-e-store/?itemId=1283628340&channelSource=pdp,https:https://www.lazada.com.my/products/mac-os-windows-sketchup-pro-2021-sketchup-pro-2020-100-work-easy-install-i1283628340-s3894026874.html?search=1,https://my-test-11.slatic.net/p/mdc/2ddc14ba99c8050fbe33711a45855cd9.png_200x200q90.jpg_.webp,RM26.60,RM39.00
(PC) Story Of Seasons Friends of Mineral Town,Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy (PC) Story Of Seasons Friends of Mineral Town online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,No Warranty,1438982756_MY-4652802440,,"*Fully Installer. Insert disc, install and play. No need copy, extract and crack.*Antivirus must turn off or exclude game folder from antivirus scanning.*Offline only. ",5.0,1 Ratings,//www.lazada.com.my/shop/pirpc-game-store/?itemId=1438982756&channelSource=pdp,https:https://www.lazada.com.my/products/pc-story-of-seasons-friends-of-mineral-town-i1438982756-s4652802440.html?search=1,https://my-test-11.slatic.net/p/7f7e35eea04a9486129acf994da052bf.jpg_200x200q90.jpg_.webp,RM5.00,RM32.93
GTA San Andreas | Grand Theft Auto San Andreas Remastered 2019 PC GAME DVD,Software,"Electronics Accessories,Computer Accessories,Software,PC Games","""Buy GTA San Andreas | Grand Theft Auto San Andreas Remastered 2019 PC GAME DVD online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,"No Brand,More Computer Accessories from No Brand",,,707986493_MY-1543428239,DVD,"Comes with DVD,PC gameplay,Action",4.5,20 Ratings,//www.lazada.com.my/shop/pc-game-store/?itemId=707986493&channelSource=pdp,https:https://www.lazada.com.my/products/gta-san-andreas-grand-theft-auto-san-andreas-remastered-2019-pc-game-dvd-i707986493-s1543428239.html?search=1,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg,RM7.00,RM399.00
Euro Truck Simulator 2 Road to the Black Sea - Offline PC Game with DVD,Software,"Electronics Accessories,Computer Accessories,Software,PC Games","""Buy Euro Truck Simulator 2 Road to the Black Sea - Offline PC Game with DVD online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,"No Brand,More Computer Accessories from No Brand",,No Warranty,497570945_MY-913652735,DVD WITH INSTALLATION GUIDE,"Euro Truck Simulator 2,PC ONLY,PC GAME,CD DVD",4.7,13 Ratings,//www.lazada.com.my/shop/nadhi-imani-enterprise/?itemId=497570945&channelSource=pdp,https:https://www.lazada.com.my/products/euro-truck-simulator-2-road-to-the-black-sea-offline-pc-game-with-dvd-i497570945-s913652735.html?search=1,https://my-test-11.slatic.net/p/42ad4a2f0c12ed6642762d7a6da6afd2.jpg_200x200q90.jpg_.webp,RM11.00,RM119.00
(PC) One Piece Pirate Warriors 4 (Land of Wano Pack Added),Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy (PC) One Piece Pirate Warriors 4 (Land of Wano Pack Added) online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,No Warranty,1456060059_MY-4742694914,4 pcs DVD,,5.0,1 Ratings,//www.lazada.com.my/shop/pirpc-game-store/?itemId=1456060059&channelSource=pdp,https:https://www.lazada.com.my/products/pc-one-piece-pirate-warriors-4-land-of-wano-pack-added-i1456060059-s4742694914.html?search=1,https://my-test-11.slatic.net/p/7c22aee3473b86ed568e29969c61bd2b.jpg_200x200q90.jpg_.webp,RM15.00,RM139.00
