Title,Product_Type,Catagory,Content,Stock,Brand,Wrranty Period,Model,SKU,Receiving_item,Detail_Description,Rating out of 5,No of Ratings,Store_url/dropship_supplier,product_url,image_url
McAfee LiveSafe 1 Year 1 Device,Software,"Electronics Accessories,Computer Accessories,Software,Security Software",Buy McAfee LiveSafe 1 Year 1 Device online at Lazada Malaysia. Discount prices and promotional sale on all Security Software. Free Shipping.,,"McAfee,More Computer Accessories from McAfee",,,992990727_MY-2617642662,1 x McAfee LiveSafe Antivirus Sofrware Original - 1 Year 1 Device,"McAfee® Mobile Security for your Android and iOS devices and cross-device protection for your PCs, Macs and more.,McAfee® Safe Family to encourage good habits for your kids, letting you decide what they see online. ,Vulnerability Scanner to streamline Windows and application updates with a single tool that scans and installs them all.,Anti-spam to remove junk mail before it reaches your inbox,Password Manager to easily secure and manage your passwords by storing, auto-filling and even generating unique passwords.,McAfee® Web Advisor to browse, shop, and bank with confidence by sidestepping attacks with clear warnings of risky websites, links and files. ,PC Optimization to help you get things done faster by making your computer focus on the task at hand, automatically.,Web Boost to browse without interruption and maximize your battery and bandwidth by pausing autoplay videos.,App Boost to give your resource-hungry apps the power they need to get the job done faster. ,McAfee® Shredder™ to delete sensitive files completely, ensuring no traces are left behind.,McAfee® QuickClean™ to remove unwanted files, reclaim storage and purge cookies and temporary files.,File Lock to place your sensitive files under lock-and-key quickly and easily with 256-bit file encryption.,McAfee’s Virus Protection Pledge that includes our 100% Guarantee: Viruses removed or your money back, available with auto-renewal.* For more information, see here. ,Customer support via phone, chat or online for the life of your subscription.",5.0,15 Ratings,//www.lazada.com.my/shop/mcafee/?itemId=992990727&channelSource=pdp,https:https://www.lazada.com.my/products/mcafee-livesafe-1-year-1-device-i992990727-s2617642662.html?search=1&freeshipping=1,https://my-test-11.slatic.net/p/af84e3bc6c59c0d00456b97290987447.jpg_200x200q90.jpg_.webp
Microsoft Office Home & Business 2019,Software,"Electronics Accessories,Computer Accessories,Software,Productivity",Buy Microsoft Office Home & Business 2019 online at Lazada Malaysia. Discount prices and promotional sale on all Productivity. Free Shipping.,Only 5 items left,"Microsoft,More Computer Accessories from Microsoft",Local Manufacturer Warranty,Microsoft Office Home & Business 2019,1422260340_MY-4560424649,1x Microsoft Office Home & Business 2019,"Microsoft Office Home and Business 2019 provides classic Office apps and email for families and small businesses who want to install them on one Mac or Windows 10 PC for use at home or work. Classic versions of Office apps include Word, Excel and PowerPoint.,✔ Requires Windows 10  ,✔ Licensed for home and commercial use ,✔ One-off purchase for one device, PC  ,✔ Includes Classic 2019 versions of Word, Excel, PowerPoint and Outlook,✔ Microsoft support included for 60 days at no extra cost, ,Operating System: ,☑ Office 2019 for Windows require Windows 10 and newer,(LIFETIME VALIDITY PERIOD)",0,No Ratings,//www.lazada.com.my/shop/hp-store-clicknet/?itemId=1422260340&channelSource=pdp,https:https://www.lazada.com.my/products/microsoft-office-home-business-2019-i1422260340-s4560424649.html?search=1,https://my-test-11.slatic.net/p/36d5a857f1c4ecfc37eb1fb2b96bf206.png_200x200q90.jpg_.webp
McAfee Total Protection 1 Device 3 Year,Software,"Electronics Accessories,Computer Accessories,Software,Security Software",Buy McAfee Total Protection 1 Device 3 Year online at Lazada Malaysia. Discount prices and promotional sale on all Security Software. Free Shipping.,,"McAfee,More Computer Accessories from McAfee",1 Year,Local Manufacturer Warranty,681742914_MY-1475914096,1x McAfee Total Protection Software Antivirus ORIGINAL - 1 Device 3 Year,"Safe Web Browsing,Performance Optimization,Safe Family,Password Manager,Cross-Platform, Multi-Device,Encrypted Storage,FREE Support",4.9,166 Ratings,//www.lazada.com.my/shop/mcafee/?itemId=681742914&channelSource=pdp,https:https://www.lazada.com.my/products/mcafee-total-protection-1-device-3-year-i681742914-s1475914096.html?search=1&freeshipping=1,https://my-test-11.slatic.net/p/b99fe2bcd47324b3f06e699076dedba3.jpg_200x200q90.jpg_.webp
Checkra1n & Bypass iCloud Starter files to Unlock iPhone - Big Express,Software,"Electronics Accessories,Computer Accessories,Software,PC Games","""Buy Checkra1n & Bypass iCloud Starter files to Unlock iPhone - Big Express online at Lazada. Discount prices and promotional sale on all. Free Shipping.""",,"No Brand,More Computer Accessories from No Brand",,,1153676869_MY-3769584769,,"Big Express show method to bypass icloud iOS to fix hang on logo and iTunes access.This solve your problem if you have iPhone, iPad or iWatch that are stuck with an unusable device with no way of contacting the original owner.Removes device from the previous owners iCloud account permanently.Enables you to activate a device where you have forgotten the password.Works with all iPhone models as well as all iPads/iWatches up to the iOS 12.4.7 - 13.5.1.Device compatible:iPhone 6S , iPhone 6S+ iPhone SE, iPhone 7, iPhone 7+ , iPhone 8 / iPhone 8+, iPhone X.iPad Mini 2, iPad Mini 3, iPad Mini 4, iPad Air, iPad Pro (12.9 in), iPad Pro (9.7 in) , iPad Pro (10.5 in), iPad 6G, iPad 7GStep by step, goodluck!!",3.0,1 Ratings,//www.lazada.com.my/shop/bigexpress/?itemId=1153676869&channelSource=pdp,https:https://www.lazada.com.my/products/checkra1n-bypass-icloud-starter-files-to-unlock-iphone-big-express-i1153676869-s3769584769.html?search=1,https://my-test-11.slatic.net/p/921ae8cfaa016c728c17711018da26f4.jpg_200x200q90.jpg_.webp
Samurai Shodown NEOGEO Collection PC OFFLINE - Big Express,Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy Samurai Shodown NEOGEO Collection PC OFFLINE - Big Express online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,,1378448309_MY-4327820446,,"The ULTIMATE collection is here! It all began in ’93, and now, the weapon-based fighting game series that swept the world is ready to be taken home in a new stellar collection! Six NEOGEO titles as well as one mysterious, unreleased game are featured! Each game features Online Battle Modes as well as a Museum Mode and Music Player.Why buy from Big Express? :✔ Lowest Price in the market✔ Lifetime- Unlimited Installation✔Installer same as DVD✔Same with box version✔100% works✔No physical disk will be shipped✔safe download#pcgame #digitaldownload #BigExpress_PC_GAME #BigExpress #Simulation #Action #FightingGamePlease leave your email address in message or chat.",5.0,1 Ratings,//www.lazada.com.my/shop/bigexpress/?itemId=1378448309&channelSource=pdp,https:https://www.lazada.com.my/products/samurai-shodown-neogeo-collection-pc-offline-big-express-i1378448309-s4327820446.html?search=1,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg
This Super Mario Odyssey PC OFFLINE - Big Express,Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy This Super Mario Odyssey PC OFFLINE - Big Express online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,,1237986175_MY-3681158438,,Why buy from Big Express? :✔ Lowest Price in the market✔ Lifetime- Unlimited Installation✔Installer same as DVD✔Same with box version✔100% works✔No physical disk will be shipped✔safe download#pcgame #digitaldownload #BigExpress_PC_GAME #BigExpress #Action #AdventurePlease leave your email address in message or chat.,5.0,4 Ratings,//www.lazada.com.my/shop/bigexpress/?itemId=1237986175&channelSource=pdp,https:https://www.lazada.com.my/products/this-super-mario-odyssey-pc-offline-big-express-i1237986175-s3681158438.html?search=1,https://my-test-11.slatic.net/p/350b477746cd15f1254042c1acebb53d.jpg_200x200q90.jpg_.webp
Minecraft Windows 10 Edition / Java Edition,Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy Minecraft Windows 10 Edition / Java Edition online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,,1108786849_MY-3107938775,,"Why buy from Big Express? :,✔ Lowest Price in the market,✔ Lifetime- Unlimited Installation,✔Installer same as DVD,✔Same with box version,✔100% works,✔No physical disk will be shipped,✔safe downloadJava (lifetime),-Give us your email (not registered to Mojang) and we will set up a Mojang Account with the game for you,-All complete within 1-24 hours,-Full access and set your own password/details/everything!Windows 10 (lifetime),-Redemption code at Microsoft Store,-send you the code in chat in 5min-24 hours,-must redeem code in 24 hours after we sent you,-Full access and set your own password/details/everything!Java vs Windows 10,https://www.pcgamer.com/minecraft-java-edition-vs-windows-10/Please leave your email address in message or shopee chat,#Horor #BigExpress_PC_GAME #BigExpress",4.5,24 Ratings,//www.lazada.com.my/shop/bigexpress/?itemId=1108786849&channelSource=pdp,https:https://www.lazada.com.my/products/minecraft-windows-10-edition-java-edition-i1108786849-s3107938775.html?search=1,https://my-test-11.slatic.net/p/3266551442a3303fdf7e390238618f20.jpg_200x200q90.jpg_.webp
Bitdefender Internet Security - 3 Devices 1 Year,Software,"Electronics Accessories,Computer Accessories,Software,Security Software",Buy Bitdefender Internet Security - 3 Devices 1 Year online at Lazada Malaysia. Discount prices and promotional sale on all Security Software. Free Shipping.,Only 10 items left,"BitDefender,More Computer Accessories from BitDefender",,,1576586430_MY-5337730640,,"The Ultimate Anti-Malware Protection Against Cyber-Threats. Official PRODUCT OF THE YEAR,Zero Performance Impact - GOLD Award for Fastest System Speed.,OneClick Security. Automatic protection, with zero questions asked.,Prevent Unauthorized Access to your Private Data. Two-Way Firewall.,Recover Your Device in case of Loss or Theft. Device Anti-Theft,Support Windows , Android , iOS, MacOS",0,No Ratings,//www.lazada.com.my/shop/touch-it-solution/?itemId=1576586430&channelSource=pdp,https:https://www.lazada.com.my/products/bitdefender-internet-security-3-devices-1-year-i1576586430-s5337730640.html?search=1,https://my-test-11.slatic.net/p/5d5659d1ccf59cf3dc8154b9b81577ad.png_200x200q90.jpg_.webp
Call of Duty - MODERN WARFARE [PC] [BattleNet],Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy Call of Duty - MODERN WARFARE [PC] [BattleNet] online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,,1036138451_MY-2793270588,,"Region: RussiaAfter paymentMethod One: Give your email address help create blizzardStandard Edition•Main Game•Custom In-GameBattle Pass EditionThe Battle Pass Edition includes 3,000 Call of Duty Points (CP)*, three Operator Packs, a custom in-game tactical knife, and the XRK Wpns Pack. Each Operator Pack includes a themed Operator skin, cosmetic wpn variant, and additional bonus content.To All customerthanks for our customer support, and enjoy the original gameMore details and information please contact with us! thank you very much!We can help you all buy steam and uplay game at low price!-------This is digital product, after activated  we are not allow refund.-------#Safe#Save money get original game#Lowers #BlizzardWhy buy from Big Express? :✔ Lowest Price in the market✔100% works✔No physical disk will be shipped✔safe downloadPlease leave your email address in message or shopee chat#Action #Shooter #Adventure #Casual #FPS #FirstPersonShooter #Activision #BigExpress_PC_GAME #BigExpress",4.8,4 Ratings,//www.lazada.com.my/shop/bigexpress/?itemId=1036138451&channelSource=pdp,https:https://www.lazada.com.my/products/call-of-duty-modern-warfare-pc-battlenet-i1036138451-s2793270588.html?search=1,https://laz-img-cdn.alicdn.com/tfs/TB1Yltkl4TpK1RjSZFKXXa2wXXa-720-720.png_340x340q80.jpg
PUBG PlayerUnknown's Battlegrounds [ PC Steam ],Software,"Electronics Accessories,Computer Accessories,Software,PC Games",Buy PUBG PlayerUnknown's Battlegrounds [ PC Steam ] online at Lazada Malaysia. Discount prices and promotional sale on all PC Games. Free Shipping.,,"No Brand,More Computer Accessories from No Brand",,,815368101_MY-1908482779,,"The most recent Battle Royale phenomenon - PlayerUnknown's Battlegrounds that has attracted millions of players worldwide! Survive in Erangel, an island where 100 players hunt each other to death for the crown and to climb the leaderboard!  Jump out of the aeroplane that flies over Erangel and finds your spot to start in. It can be a big city like Pochinky or a small pair of houses near the mountains. Loot the buildings and cities to find gear, weapons like AKM or SCAR-L and ammo to defeat your opponents. The play area will be smaller from time to time, so you need to be careful about not being in that area when the map shrinks.,In PlayerUnknown's Battlegrounds, you choose the way you want to play, whether you want to be a one-man-army playing solo or with friends as a squad. PlayerUnknown's BattlegroundsPlayerUnknown's Battlegrounds is in Early-Access so the developers are updating and changing several aspects of the game to make it more accessible to the public. It is receiving periodical updates each month to add more content, such as new weapons like the Mini14 or MK14 or places to loot in Erangel.Remember, this is not a game, this is Battle Royale!PlayerUnknown's Battlegrounds best price!Discover the best Game Key offers, compare prices to download and play PUBG PlayerUnknown's Battlegrounds at the best price. Compare CD Key prices from merchants all around the world. Activate CD Key on your Steam client to download the game and play in multiplayer.Big Express is a platform to find, compare and buy digital game keys. Only verified and trusted merchants can sell digital goods on Big Express.Add the CD Key to your Steam account, the game you bought will be added to your library. Now you can download Steam PC video games for free at any time you want whenever you install Steam client.How to activate cd key?Launch Steam and log in to your account. Go to Games and then click Activate a Product on Steam. Enter the cd key code you have received. The game cd key has been activated and added to your Steam library. You can play now!Please leave your email address in message",3.0,1 Ratings,//www.lazada.com.my/shop/bigexpress/?itemId=815368101&channelSource=pdp,https:https://www.lazada.com.my/products/pubg-playerunknowns-battlegrounds-pc-steam-i815368101-s1908482779.html?search=1,https://my-test-11.slatic.net/p/eb708aa1bb673db066f49616b0244403.jpg_200x200q90.jpg_.webp
