title,sku,DESCRIPTION,price_for_25,price_for_100,price_for_250,price_for_500,price_for_1000,net_price,net_price_bundle
"4 x 4 x 4"" Shipping Boxes",BS040404,Mugs • 32 ECT,0.24,0.24,0.24,0.24,0.24,$6.00 ,25/Bundle
"4 x 4 x 4"" White Boxes",BS040404W,Mugs • 32 ECT,0.35,0.35,0.35,0.35,0.35,$8.75 ,25/Bundle
"4 x 4 x 4"" Multi-Depth Boxes",BS040404MD,"Mug Box • Multi-Depth: 2"" • 32 ECT",0.31,0.31,0.31,0.31,0.31,$7.75 ,25/Bundle
"4 x 4 x 6"" Shipping Boxes",BS040406,32 ECT,0.42,0.37,0.36,0.35,0.35,$10.50 ,25/Bundle
"4 x 4 x 8"" Shipping Boxes",BS040408,32 ECT,0.48,0.45,0.43,0.43,0.42,$12.00 ,25/Bundle
"4 x 4 x 10"" Shipping Boxes",BS040410,32 ECT,0.54,0.51,0.51,0.49,0.48,$13.50 ,25/Bundle
"4 x 4 x 12"" Shipping Boxes",BS040412,32 ECT,0.62,0.59,0.57,0.54,0.51,$15.50 ,25/Bundle
"4 x 4 x 18"" Shipping Boxes",BS040418,32 ECT,0.84,0.8,0.76,0.73,0.7,$21.00 ,25/Bundle
"4 x 4 x 20"" Shipping Boxes",BS040420,32 ECT,0.92,0.86,0.84,0.8,0.76,$23.00 ,25/Bundle
"4 x 4 x 24"" Shipping Boxes",BS040424,32 ECT,1.06,1.02,0.95,0.92,0.9,$26.50 ,25/Bundle
"4 x 4 x 28"" Shipping Boxes",BS040428,32 ECT,1.19,1.12,1.09,1.06,1.02,$29.75 ,25/Bundle
"4 x 4 x 30"" Shipping Boxes",BS040430,32 ECT,1.26,1.21,1.18,1.1,1.08,$31.50 ,25/Bundle
"4 x 4 x 36"" Shipping Boxes",BS040436,Golf Clubs • 32 ECT,1.44,1.39,1.33,1.26,1.23,$36.00 ,25/Bundle
"4 x 4 x 40"" Shipping Boxes",BS040440,Golf Clubs • 32 ECT,1.59,1.5,1.45,1.4,1.35,$39.75 ,25/Bundle
"4 x 4 x 48"" Shipping Boxes",BS040448,Golf Clubs • 32 ECT,1.93,1.84,1.76,1.7,1.64,$48.25 ,25/Bundle
"4 x 4 x 60"" Shipping Boxes",BS040460,32 ECT,2.53,2.42,2.33,2.24,2.15,$63.25 ,25/Bundle
"4 x 4 x 72"" Shipping Boxes",BS040472,32 ECT,3.28,3.15,3,2.91,2.78,$65.60 ,20/Bundle
"5 x 4 x 4"" Shipping Boxes",BS050404,32 ECT,0.37,0.36,0.35,0.35,0.33,$9.25 ,25/Bundle
"5 x 5 x 3"" Shipping Boxes",BS050503,32 ECT,0.29,0.28,0.26,0.26,0.25,$7.25 ,25/Bundle
"5 x 5 x 4"" Shipping Boxes",BS050504,32 ECT,0.35,0.35,0.33,0.32,0.31,$8.75 ,25/Bundle
"5 x 5 x 5"" Shipping Boxes",BS050505,32 ECT,0.29,0.29,0.29,0.29,0.29,$7.25 ,25/Bundle
"5 x 5 x 8"" Shipping Boxes",BS050508,32 ECT,0.33,0.33,0.33,0.33,0.33,$8.25 ,25/Bundle
"5 x 5 x 10"" Shipping Boxes",BS050510,32 ECT,0.5,0.49,0.45,0.44,0.43,$12.50 ,25/Bundle
"5 x 5 x 36"" Shipping Boxes",BS050536,Golf Clubs • 32 ECT,1.44,1.37,1.32,1.26,1.21,$36.00 ,25/Bundle
"6 x 4 x 4"" Shipping Boxes",BS060404,32 ECT,0.32,0.31,0.29,0.28,0.26,$8.00 ,25/Bundle
"6 x 4 x 4"" Multi-Depth Boxes",BS060404MD,"Multi-Depth: 2"" • 32 ECT",0.32,0.31,0.29,0.28,0.26,$8.00 ,25/Bundle
"6 x 5 x 4"" Shipping Boxes",BS060504,32 ECT,0.35,0.33,0.32,0.31,0.29,$8.75 ,25/Bundle
"6 x 5 x 5"" Shipping Boxes",BS060505,32 ECT,0.33,0.32,0.31,0.29,0.28,$8.25 ,25/Bundle
"6 x 6 x 3"" Shipping Boxes",BS060603,32 ECT,0.36,0.35,0.35,0.33,0.32,$9.00 ,25/Bundle
"6 x 6 x 4"" Shipping Boxes",BS060604,32 ECT,0.35,0.35,0.33,0.32,0.31,$8.75 ,25/Bundle
"6 x 6 x 4"" Multi-Depth Boxes",BS060604MD,"Multi-Depth: 2"" • 32 ECT",0.35,0.35,0.33,0.32,0.31,$8.75 ,25/Bundle
"6 x 6 x 5"" Shipping Boxes",BS060605,32 ECT,0.4,0.36,0.35,0.35,0.33,$10.00 ,25/Bundle
"6 x 6 x 6"" Shipping Boxes",BS060606,32 ECT,0.4,0.4,0.4,0.4,0.4,$10.00 ,25/Bundle
"6 x 6 x 6"" White Boxes",BS060606W,32 ECT,0.4,0.4,0.4,0.4,0.4,$10.00 ,25/Bundle
"6 x 6 x 8"" Shipping Boxes",BS060608,32 ECT,0.49,0.48,0.44,0.43,0.43,$12.25 ,25/Bundle
"6 x 6 x 10"" Shipping Boxes",BS060610,32 ECT,0.54,0.51,0.51,0.49,0.48,$13.50 ,25/Bundle
"6 x 6 x 12"" Shipping Boxes",BS060612,32 ECT,0.6,0.59,0.56,0.54,0.51,$15.00 ,25/Bundle
"6 x 6 x 18"" Shipping Boxes",BS060618,32 ECT,0.8,0.76,0.73,0.7,0.68,$20.00 ,25/Bundle
"6 x 6 x 24"" Shipping Boxes",BS060624,32 ECT,1.04,1,0.95,0.92,0.87,$26.00 ,25/Bundle
"6 x 6 x 30"" Shipping Boxes",BS060630,32 ECT,1.24,1.19,1.12,1.09,1.06,$31.00 ,25/Bundle
"6 x 6 x 36"" Shipping Boxes",BS060636,Golf Clubs • 32 ECT,1.44,1.37,1.33,1.26,1.23,$36.00 ,25/Bundle
"6 x 6 x 38"" Shipping Boxes",BS060638,Golf Clubs • 32 ECT,1.5,1.44,1.39,1.33,1.26,$37.50 ,25/Bundle
"6 x 6 x 40"" Shipping Boxes",BS060640,Golf Clubs • 32 ECT,1.59,1.5,1.44,1.39,1.35,$39.75 ,25/Bundle
"6 x 6 x 48"" Shipping Boxes",BS060648,Golf Clubs • 32 ECT,1.94,1.85,1.77,1.71,1.64,$48.50 ,25/Bundle
"6 x 6 x 60"" Shipping Boxes",BS060660,32 ECT,2.74,2.6,2.52,2.41,2.33,$68.50 ,25/Bundle
"6 x 6 x 72"" Shipping Boxes",BS060672,32 ECT,3.51,3.35,3.22,3.09,2.98,$70.20 ,20/Bundle
"7 x 4 x 4"" Shipping Boxes",BS070404,32 ECT,0.31,0.29,0.28,0.28,0.26,$7.75 ,25/Bundle
"7 x 5 x 3"" Shipping Boxes",BS070503,32 ECT,0.31,0.29,0.28,0.26,0.26,$7.75 ,25/Bundle
"7 x 5 x 4"" Shipping Boxes",BS070504,32 ECT,0.36,0.35,0.35,0.33,0.32,$9.00 ,25/Bundle
"7 x 5 x 5"" Shipping Boxes",BS070505,32 ECT,0.35,0.35,0.33,0.32,0.31,$8.75 ,25/Bundle
"7 x 6 x 4"" Shipping Boxes",BS070604,32 ECT,0.35,0.33,0.32,0.31,0.29,$8.75 ,25/Bundle
"7 x 6 x 6"" Shipping Boxes",BS070606,32 ECT,0.45,0.43,0.43,0.42,0.37,$11.25 ,25/Bundle
"7 x 7 x 3"" Shipping Boxes",BS070703,32 ECT,0.36,0.35,0.35,0.33,0.32,$9.00 ,25/Bundle
"7 x 7 x 4"" Shipping Boxes",BS070704,32 ECT,0.44,0.43,0.42,0.4,0.37,$11.00 ,25/Bundle
7 x 7 x 4,BS070704R,32 ECT,0.48,0.44,0.43,0.42,0.4,$12.00 ,25/Bundle
"7 x 7 x 5"" Shipping Boxes",BS070705,32 ECT,0.51,0.49,0.48,0.44,0.43,$12.75 ,25/Bundle
"7 x 7 x 6"" Shipping Boxes",BS070706,32 ECT,0.51,0.5,0.49,0.45,0.44,$12.75 ,25/Bundle
"7 x 7 x 7"" Shipping Boxes",BS070707,32 ECT,0.5,0.5,0.5,0.5,0.5,$12.50 ,25/Bundle
"7 x 7 x 8"" Shipping Boxes",BS070708,32 ECT,0.59,0.57,0.54,0.51,0.51,$14.75 ,25/Bundle
"7 x 7 x 10"" Shipping Boxes",BS070710,32 ECT,0.68,0.63,0.6,0.59,0.57,$17.00 ,25/Bundle
"7 x 7 x 12"" Shipping Boxes",BS070712,32 ECT,0.76,0.75,0.7,0.68,0.67,$19.00 ,25/Bundle
"8 x 4 x 4"" Shipping Boxes",BS080404,32 ECT,0.33,0.32,0.31,0.29,0.28,$8.25 ,25/Bundle
8,BS080409,"Holds 4-Pack of 4x4x4"" Boxes • 32 ECT",0.53,0.51,0.5,0.49,0.45,$13.25 ,25/Bundle
"8 x 5 x 4"" Shipping Boxes",BS080504,32 ECT,0.4,0.37,0.36,0.35,0.35,$10.00 ,25/Bundle
